player_name,round_number,season,playoffownership,topownership,eliteownership,topdiff,elitediff
Hunter Henry,13,2022,0.08454787234042553,0.08899813527716562,0.09245283018867924,0.004450262936740085,0.007904957848253708
Hunter Long,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Hunter Renfrow,7.4,2022,0.044242021276595746,0.022885234785556874,0.018867924528301886,-0.021356786491038872,-0.02537409674829386
Ian Thomas,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Ihmir Smith-Marsette,17.6,2022,6.382978723404255e-4,3.390405153415833e-4,NA,-2.992573569988422e-4,NA
Irv Smith,11.9,2022,0.06468085106382979,0.05187319884726225,0.045283018867924525,-0.012807652216567537,-0.01939783219590526
Isaiah Likely,16.1,2022,0.028670212765957447,0.029327004577046956,0.03018867924528302,6.567918110895084e-4,0.0015184664793255719
Isaiah McKenzie,13.7,2022,0.07676861702127659,0.07662315646719783,0.07358490566037736,-1.4546055407875513e-4,-0.003183711360899233
Isaiah Spiller,12.8,2022,0.05732712765957447,0.04577046957111375,0.05660377358490566,-0.011556658088460722,-7.233540746688083e-4
Isiah Pacheco,13.2,2022,0.04773936170212766,0.04916087472452958,0.03962264150943396,0.0014215130224019198,-0.008116720192693702
J.D. McKissic,15.5,2022,0.06716755319148936,0.061027292761485,0.04905660377358491,-0.00614026043000436,-0.01811094941790445
J.J. Taylor,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
J.K. Dobbins,5.4,2022,0.06323138297872341,0.05000847601288354,0.035849056603773584,-0.013222906965839873,-0.027382326374949827
Ja'Marr Chase,1,2022,0.06433510638297872,0.04085438209866079,0.04339622641509434,-0.023480724284317932,-0.020938879967884384
JaMycal Hasty,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Jacob Harris,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Jacoby Brissett,17.7,2022,0.0015691489361702128,0.0015256823190371248,0.0018867924528301887,-4.346661713308794e-5,3.176435166599759e-4
Jaelon Darden,18,2022,5.319148936170213e-5,NA,NA,NA,NA
Jahan Dotson,11.8,2022,0.08449468085106383,0.07899644007458892,0.07169811320754717,-0.005498240776474914,-0.012796567643516665
Jaivon Heiligh,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Jake Ferguson,17.9,2022,9.308510638297873e-5,NA,NA,NA,NA
Jakeem Grant,17.7,2022,3.9893617021276594e-5,1.6952025767079165e-4,NA,1.2962664064951505e-4,NA
Jakobi Meyers,12.1,2022,0.10319148936170212,0.11951178165790811,0.13962264150943396,0.01632029229620599,0.036431152147731835
Jalen Guyton,17.6,2022,0.009561170212765957,0.004916087472452958,0.0037735849056603774,-0.0046450827403129984,-0.005787585307105579
Jalen Hurts,5.6,2022,0.16909574468085106,0.22342769961010342,0.22452830188679246,0.05433195492925236,0.055432557205941396
